年	月	分類	内容
1971	11	world	Intel 4004 発売。世界初の1チップ商用マイクロプロセッサ。ビジコン（日本）とインテル（米国）による共同開発
1972	4	world	Intel 8008 発売
1973		world	TLCS-12 開発（東芝）。日本初のマイクロプロセッサ（12bit CPU）。フォード車の車載用
1974	3	world	Motorola 6800 発表
1974	4	world	Intel 8080 発売（8008ソース互換）
1974	12	world	Altair 8800 発売（MITS社）S-100バス
1975	4	world	Micro-Soft 設立（11月にMicrosoftとして登録）
1975	9	world	MOS Technology 6502 発表
1975	12	world	IMSAI 8080発売（Altair 8080互換）
1976		utmc	東京大学マイクロコンピュータ同好会設立（4月から12月のどこか）
1976		world	MOS KIM-1発売（4月頃?）。MOS 6502を使った完成品のワンボードマイコン（BYTE誌 1976年4月号、5月号の広告より）
1976	4	world	Apple Computer Company 設立（現Apple Inc.）
1976	5	world	東芝 TLCS-12A EX-0 発売。日本国産初のワンボードマイコン
1976	7	world	Apple I発売
1976	7	world	Zilog Z80 発売（8080バイナリ互換）
1976	8	world	NEC TK-80発売
1976	10	world	月刊 I/O 創刊（日本コンピュータクラブ連盟、工学社）。2026年現在も刊行中
1977	12	utmc	中沢真也 著「マイコン活用法」（廣済堂出版）出版
1977	5	world	工学社出身者によりアスキー出版設立（後のアスキー。現在はKADOKAWAの一部）
1977	6	world	月刊アスキー創刊（アスキー出版局）
1977	6	world	Apple II発売
1977	7	utmc	新宿にて首都圏の大学4校と他1グループでマイコン愛好者会合を開催
1977	7	utmc	月刊  I/O アイ・オー 1977年8月号発売。付録の「マイコン新聞 BINARY」の企画編集を担当（すくなくとも1977年11月号まで）
1977	8	utmc	首都圏ブロック大学マイコン連絡協議会(仮称) (東大・電通大・早大・理科大) 第2回会合開催。バスの規格統一について話し合う
1977	8	world	月刊マイコン創刊（電波新聞社）
1977	12	world	TRS-80（Model I）発売
1978		utmc	東大マイコンクラブ（東京大学マイクロコンピュータクラブ）に改名
1978	2	world	日本でCommodore PET 2001発売
1978	2	world	月刊 RAM 創刊（広済堂出版）
1978	5	utmc	平和島で開催の「マイクロコンピュータショウ'78」の日本マイコンクラブのブースに画像処理システムを出典
1978	9	world	日立マイクロコンピューター ベーシックマスター MB-6880（ベーシックマスター レベル1）発売
1978	10	world	アスキーマイクロソフト設立（現日本マイクロソフト）
1979	5	utmc	「マイクロコンピュータ総合カタログ 1979」（広済堂出版）発売。東大マイコンクラブも協力
1979	11	utmc	駒場祭にてPET 2001で「万引き少年ゲーム」（作：鈴木浩）を展示。世界初のステルスゲームと言われている
1979		utmc	オリジナルのマイコンシステム「NECOM」の1号機作成（この名前は以後も使われるようになる）
1979		utmc	正確な年・時期は不明だがTAITOへのアイデア出しを担当するTOTAIを設立。1990年代まで運営された
1980	2	utmc	月刊「RAM」にPET 2001用「万引き少年ゲーム」を掲載（作：鈴木浩）。後に他機種に他の人によって移植されたものがマイコンBASICマガジン等に掲載される
1980	5	utmc	「マイクロコンピュータ総合カタログ 1980」（広済堂出版）発売。東大マイコンクラブも協力
1981	8	utmc	「Weeklyプレイボーイ 1981年8月25日号」（集英社）の記事「PBマイコンファイル "激る" ブームの 最新情報をキミにコーチ！〔コンピュータ博士〕に なるための全7章」に駒場寮北寮 S21号室の部室(?)への取材記事
1981	10	utmc	「週刊ポスト 1981年10月30号」（小学館）の「<日米ビデオビジネス戦争> 4400億円市場「コンピュータ・グラフィックス」を狙え！テクノシリーズ丸儲け編(第2回)」という記事にてマイコンクラブ部員のコメント掲載
1981	10	utmc	東大マイコンクラブ 著「だからいまマイコン」（集英社）出版。表紙は鳥山明。35,000部売れたらしい
1982	2	utmc	アスキーAXシリーズ第1弾、「AX-1」発売。AXシリーズはUTMC部員の滝口らが開発
1982	10	utmc	東大マイコンクラブ 著「パピコン級ホームコンピュータ最大限活用法」 （集英社）出版
1982	12	world	アスキー出版がアスキーに商号変更
1982	3	utmc	1983年発行の「マイコン雑学いろいろ実践読本」に「学生寮の十六畳もある部屋」を1982年3月まで使用していたとの記述あり
1982		world	在日米軍向け「CORTON-NET」や「MacEvent」といった日本初のパソコン通信ホスト局が開設
1983	5	utmc	「マイコン雑学いろいろ実践読本」（アスキー出版局）に「元祖マイコン少年たち こんなに大きくなりました！」としてUTMCの部室（学生会館2階 214号室）への取材記事掲載
1983	5	utmc	日本経済新聞 編「ドキュメント新・産業革命 2 (コンピューターの挑戦)」（日本経済新聞）に学生会館214号室を訪問しての取材記事掲載
1983		utmc	テレビ朝日「歌謡ドッキリ大放送!!」の占星術のコーナーを松岡肇が担当（詳細な時期は不明）
1984	1	world	Macintosh 発売
1984	3	utmc	東大マイコンクラブ 著「それゆけ!マイコン」（集英社）出版
1984	4	utmc	TAITO「ちゃっくんぽっぷ」稼働開始（オリジナルは日立のベーシックマスターレベル3でUTMC部員のzakが開発した「Chack'n Chack」）
1984	8	utmc	松岡肇著「スタードッキリ占星術」（リヨン社）出版
1984	9	world	慶応と東工大の間が接続。10月には東大とも接続し、実験ネットワークとしての運用開始。JUNETとなる。後に日本のインターネットとなる
1985	3	world	国際科学技術博覧会（つくば万博）開催
1985	4	world	通信の自由化（電気通信事業法施行）
1985	5	world	アスキーネットが実験サービスとして開局。Mapletown Network開局のきっかけとなる
1986	4	world	PC-VAN 開局
1986	8	utmc	太田昌孝、竹内あきら（滝口彰）、大口孝之 著「応用グラッフィクス」（アスキー）出版
1986	9	utmc	日経MIXが実験サービス開始
1986	10	utmc	アニメ専門パソコン通信ホスト局「Mapletown Network」開局。いつ頃からか本郷の部室「本郷研究所」に置かれる。SysOp.はUTMC現役部員が代々務める
1987	3	utmc	SHARP X68000付属のワープロ(?)をOBのXevi本が担当
1987	3	world	SHARP X68000発売
1987	4	world	NIFTY-Serve 開局
1987	7	utmc	OBの蒲地輝尚 著「はじめて読む8086 : 16ビット・コンピュータをやさしく語る」（アスキー）出版
1987		utmc	OBの太田昌孝、湯浅敬がCG制作に関わったキリンメッツCM「アイアンライダー」の放送。制作会社の太陽企画ではUTMC関係者が代々バイトを続けた
1988	11	world	ASAHIパソコンネット開局。後に運営チームが株式会社アトソンとして朝日新聞社から独立
1989	1	world	「平成」に改元
1989	4	utmc	部室が学生会館214号室から303号室に移転
1990	4	world	株式会社アトソン（現朝日ネット）設立。UTMC OBが創立が2名ほど創設メンバーとして関わる。以後、アルバイトや社員としてUTMC関係者が数多く関わる
1992	11	world	日本初の商用インターネット接続サービス（UUCP接続）SPINがAT&T JENSによりスタート
1992		utmc	メーリングリスト運用開始
1992	7	utmc	蒲地輝尚 著「はじめて読むC言語 : プログラミング環境のスタンダード」（アスキー）出版
1992	12	world	インターネットイニシアティブ企画（後のIIJ）設立
1993	5	world	Windows 3.1（日本語版）発売
1993	7	world	IIJ、UUCP接続サービス開始
1994	6	utmc	Mapletown Network、mapletown.or.jp ドメインを取得
1994	8	utmc	Mapletown Network、IIJとUUCP接続を開始（接続準備はIIJ社設立前）
1994	9	utmc	Mapletown Network、UUCP経由でのメール接続を開始
1995	4	utmc	蒲地輝尚 著「はじめて読む486 : 32ビットコンピュータをやさしく語る」（アスキー）出版
1995	5	utmc	UTMC本郷研究所、外部と64kbpsの専用線接続が敷設され、TCP/IPでの接続を開始
1995	11	world	Windows 95（日本語版）発売
1996		utmc	OBのソニーCSLの増井俊之、予測変換機能機能の先駆けであるPOBox開発。その後Apple社でiPhoneでの日本語入力システムに携わった
1996	4	world	USロボティクス「Pilot 1000」「Pilot 5000」発売
1996	6	utmc	utmc.or.jp ドメイン取得
1996	8	world	Googleの最初のバージョンがスタンフォード大にて公開
1996	9	utmc	OBの山田達司、Pilot用のJ-Viewerを開発。UTMCのメーリングリストにて話題が先行していた
1996	10	utmc	山田達司、Pilot用のJ-OSを開発
1996	12	utmc	蒲地輝尚 著「入門Windows 95」（アスキー）出版（村瀬康治との共著）
1998		world	チームラボ設立。創立メンバーの猪子寿之はUTMCにも顔を出していたことがあったらしい
2000	12	utmc	CannonSmash 開発用にIRCサーバーの運用開始。後のUTMC全体用のIRCサーバーになる。現在はSlackへ移行
2001	3	world	Mac OS X発売
2004	8	utmc	蒲地輝尚 著「はじめて読むPentium : マシン語入門編」（アスキー）出版（水越康博との共著）
2007	6	world	初代iPhone発売
2008	7	world	日本にてiPhone 3GS発売
2008	10	world	世界初のAndroid搭載スマートフォン「T-Mobile G1」全米向けに発売
2018	2	utmc	学生会館本館3F 314Bの部室を退去（手続きを忘れた？）
2022	2	utmc	キャンパスプラザＢ棟2階 B306 に部室復活
2026		utmc	東大マイコンクラブ50周年
